outcome,specification,calendar_block_days,term,coefficient,hac_se,block_wild_low,block_wild_high,n,r_squared,design_condition_number,rank
log_size,year_only,14,year_2021,3.870369450260825,0.21933969639127981,3.4050036276573485,4.3417409489858265,1026,0.5091831378815335,5.117717247321617,4
log_size,year_only,28,intercept,11.743154315420655,0.23774300094105325,11.302238036044969,12.245485959303096,1026,0.5091831378815335,5.117717247321617,4
log_size,year_only,28,year_2019,1.859226133526417,0.30501773292772133,1.2822589649151885,2.4106284187955116,1026,0.5091831378815335,5.117717247321617,4
log_size,year_only,28,year_2020,2.6104672810706493,0.27629389002725563,2.1044587428351957,3.124047921866032,1026,0.5091831378815335,5.117717247321617,4
log_size,year_only,28,year_2021,3.870369450260825,0.24415970474164206,3.3890406695625734,4.3185798562828674,1026,0.5091831378815335,5.117717247321617,4
log_size,market_adjusted,7,intercept,3.597473758799212,1.4888324301201583,0.7717521185311209,5.9618759980669465,1026,0.5340979473619174,280.78419209049343,7
log_size,market_adjusted,7,year_2019,1.955549192584456,0.22761689472234084,1.5397915027376676,2.4149069254888325,1026,0.5340979473619174,280.78419209049343,7
log_size,market_adjusted,7,year_2020,2.322799107226136,0.2510639861953835,1.8390384590178408,2.843800219301324,1026,0.5340979473619174,280.78419209049343,7
log_size,market_adjusted,7,year_2021,2.2484581484188184,0.40610304149032067,1.4605355838063794,2.971104567348463,1026,0.5340979473619174,280.78419209049343,7
log_size,market_adjusted,7,log_price,0.9232090649816653,0.169137746073621,0.6354469767732308,1.2439519078867263,1026,0.5340979473619174,280.78419209049343,7
log_size,market_adjusted,7,log_vol,0.03662394431231811,0.1939884324457258,-0.32221568139114776,0.46672525257875636,1026,0.5340979473619174,280.78419209049343,7
log_size,market_adjusted,7,lag_return_30d,-0.7227861771997447,0.24508424165644122,-1.1815885141837585,-0.3128996052621329,1026,0.5340979473619174,280.78419209049343,7
log_size,market_adjusted,14,intercept,3.597473758799212,1.8116434773450112,0.4001478041016228,7.168750383655145,1026,0.5340979473619174,280.78419209049343,7
