date,gross_btc_contracts_btc,gross_alt_contracts_btc,fee_credit_btc,funding_credit_btc,unrealised_change_btc,wallet_btc_fx_usd,prior_unrealised_fx_usd,gross_btc_contracts_usd,gross_alt_contracts_usd,fee_credit_usd,funding_credit_usd,unrealised_change_usd,flow_usd_eod,reference_gain_usd,decomposition_complete,residual_usd
2018-10-26,0.0,0.0,-0.0,3.5e-07,-8.034204626028441e-07,32.25059785887899,-9.078076449902949e-06,0.0,0.0,-0.0,0.0022414379933080064,-0.005145191855654598,0.0,32.247685026959516,True,1.9326762412674725e-11
2018-10-27,0.0,0.0,-0.0,1.4e-07,-9.248000694128677e-07,95.76993195009679,-3.1213386636903084e-05,0.0,0.0,-0.0,0.0008973167458620695,-0.0059274184918469315,0.0,95.76487063497189,True,7.716494110354688e-12
2018-10-28,0.0,0.0,-0.0,2.5e-07,-9.651763690499138e-07,-50.12132402718566,1.8899182892099523e-05,0.0,0.0,-0.0,0.001601658313267095,-0.006183531021030976,0.0,-50.12588700072956,True,-1.9035439891013084e-11
2018-10-29,0.0,0.0,-0.0,2.7e-07,1.1708355696526951e-05,-2596.2495145852786,0.001117555576832149,0.0,0.0,-0.0,0.001691021268357687,0.0733299203715702,0.0,-2596.173376088016,True,4.547473508864641e-11
2018-10-30,0.16250251,0.0,-0.02000053,3.6e-07,-4.079916656962723e-06,165.00526629266434,3.582386469683265e-05,1019.2429989782282,0.0,-125.44667881347816,0.0022579803821624798,-0.02558992158966599,0.0,1058.7782903400657,True,-5.6843418860808015e-12
2018-10-31,0.0,0.0,-0.0,3.5e-07,-2.102329407449588e-06,622.3112592059714,-5.274040487402582e-06,0.0,0.0,-0.0,0.0022072109259643484,-0.013257955537425386,0.0,622.3002031873184,True,-1.0231815394945443e-12
2018-11-01,0.0,0.0,-0.0,1.5e-07,-1.8377740822472788e-06,668.0766573370212,-8.273449148383858e-05,0.0,0.0,-0.0,0.0009514466250876675,-0.011656959654851726,0.0,668.0658690894925,True,-7.503331289626658e-12
2018-11-02,0.0,0.0,-0.0,1.3e-07,-2.160080693869304e-06,94.59866244855843,-2.1255117191160404e-05,0.0,0.0,-0.0,0.0008252619157510234,-0.013712556396918322,0.0,94.58575389892212,True,-3.794298208958935e-11
2018-11-03,0.0,0.0,-0.0,1.6e-07,1.887105664621913e-06,-286.73364761314116,9.841308714660914e-05,0.0,0.0,-0.0,0.0010131894612741088,0.011949972323159969,0.0,-286.7205860382528,True,1.6768808563938364e-11
2018-11-04,0.0,0.8222,-0.203937,4.2e-07,0.003921121883845302,1603.4295948172048,-0.00038428873678066864,0.0,5278.870968640272,-1309.3616014735967,0.0026965772401227367,25.17525720886769,0.0,5598.116531481253,True,9.094947017729282e-13
2018-11-05,0.0,2.49391914,-0.05052787,-0.04635709,-0.004231777611227727,-329.2594180991863,-0.0684459143232931,0.0,15968.431674142326,-323.52726549704647,-296.8219828799527,-27.09584707908982,918.0697567868665,14991.658714672707,True,-2.000888343900442e-11
2018-11-06,0.0,0.29813036,-0.31995677,5.1e-07,0.00031124514181612994,816.7571209976776,-0.012033377664648359,0.0,1920.3009429163321,-2060.8880193331,0.0032849840616277037,2.004775157107924,0.0,678.1660713444289,True,1.4551915228366852e-11
2018-11-07,0.0,0.1126638,-0.08948145,8e-08,-1.426325315634358e-06,1275.72656202924,-0.00022564576882911768,0.0,732.4126955461072,-581.7072564202008,0.00052006958440678,-0.009272355176635372,0.0,1426.4230232237896,True,4.092726157978177e-12
