date,grid_seconds,max_age_seconds,snapshots,valid_snapshots,coverage,peak_gross_usd,min_equity_btc,max_abs_basis_equity_usd
2020-06-01,60,60,1440,1440,1.0,48.00000000000001,537.9408737156677,0.004821425208272023
2020-06-01,60,300,1440,1440,1.0,48.00000000000001,537.9408737156677,0.004821425208272023
2020-06-01,300,30,288,288,1.0,48.0,537.9408909061126,0.004770892533547277
2020-06-01,300,60,288,288,1.0,48.0,537.9408909061126,0.004770892533547277
2020-06-01,300,300,288,288,1.0,48.0,537.9408909061126,0.004770892533547277
2020-07-01,10,30,8640,8640,1.0,9004170.75615202,572.2938815650182,681.6676097986401
2020-07-01,10,60,8640,8640,1.0,9004170.75615202,572.2938815650182,681.6676097986401
2020-07-01,10,300,8640,8640,1.0,9004170.75615202,572.2938815650182,681.6676097986401
2020-07-01,60,30,1440,1440,1.0,9004161.133305252,572.2938815650182,681.628521659427
2020-07-01,60,60,1440,1440,1.0,9004161.133305252,572.2938815650182,681.628521659427
2020-07-01,60,300,1440,1440,1.0,9004161.133305252,572.2938815650182,681.628521659427
2020-07-01,300,30,288,288,1.0,9004161.133305252,572.3748186251498,681.5717412204303
2020-07-01,300,60,288,288,1.0,9004161.133305252,572.3748186251498,681.5717412204303
2020-07-01,300,300,288,288,1.0,9004161.133305252,572.3748186251498,681.5717412204303
2020-08-01,10,30,8640,8640,1.0,7879513.122011937,617.8684740117626,3062.4753756709692
2020-08-01,10,60,8640,8640,1.0,7879513.122011937,617.8684740117626,3062.4753756709692
2020-08-01,10,300,8640,8640,1.0,7879513.122011937,617.8684740117626,3062.4753756709692
2020-08-01,60,30,1440,1440,1.0,7879506.534444731,618.0372541370638,1149.2610908957847
2020-08-01,60,60,1440,1440,1.0,7879506.534444731,618.0372541370638,1149.2610908957847
2020-08-01,60,300,1440,1440,1.0,7879506.534444731,618.0372541370638,1149.2610908957847
2020-08-01,300,30,288,288,1.0,7879498.353897203,618.1392984700257,1140.317412070181
2020-08-01,300,60,288,288,1.0,7879498.353897203,618.1392984700257,1140.317412070181
2020-08-01,300,300,288,288,1.0,7879498.353897203,618.1392984700257,1140.317412070181
2020-09-01,10,30,8640,8640,1.0,24005039.85017029,521.8441121308786,6071.568232161974
2020-09-01,10,60,8640,8640,1.0,24005039.85017029,521.8441121308786,6071.568232161974
2020-09-01,10,300,8640,8640,1.0,24005039.85017029,521.8441121308786,6071.568232161974
2020-09-01,60,30,1440,1440,1.0,24005021.15081434,522.5106614267846,6064.229242521535
2020-09-01,60,60,1440,1440,1.0,24005021.15081434,522.5106614267846,6064.229242521535
2020-09-01,60,300,1440,1440,1.0,24005021.15081434,522.5106614267846,6064.229242521535
2020-09-01,300,30,288,288,1.0,24005002.205424376,522.6377524391488,5834.232947434251
2020-09-01,300,60,288,288,1.0,24005002.205424376,522.6377524391488,5834.232947434251
2020-09-01,300,300,288,288,1.0,24005002.205424376,522.6377524391488,5834.232947434251
2020-10-01,10,30,8640,8639,0.9998842592592593,9002327.261160335,665.8533074158065,1150.2611603345208
2020-10-01,10,60,8640,8640,1.0,9002327.261160335,665.8533074158065,1150.2611603345208
2020-10-01,10,300,8640,8640,1.0,9002327.261160335,665.8533074158065,1150.2611603345208
2020-10-01,60,30,1440,1440,1.0,9001753.004804976,666.7428380831816,900.0718630075282
2020-10-01,60,60,1440,1440,1.0,9001753.004804976,666.7428380831816,900.0718630075282
2020-10-01,60,300,1440,1440,1.0,9001753.004804976,666.7428380831816,900.0718630075282
2020-10-01,300,30,288,288,1.0,9001743.024334013,666.7897086909555,892.5320043827634
2020-10-01,300,60,288,288,1.0,9001743.024334013,666.7897086909555,892.5320043827634
2020-10-01,300,300,288,288,1.0,9001743.024334013,666.7897086909555,892.5320043827634
2020-11-01,10,30,8640,8640,1.0,9999788.469870076,590.8767367160535,999.8511305269542
2020-11-01,10,60,8640,8640,1.0,9999788.469870076,590.8767367160535,999.8511305269542
2020-11-01,10,300,8640,8640,1.0,9999788.469870076,590.8767367160535,999.8511305269542
2020-11-01,60,30,1440,1440,1.0,9999788.330555936,591.0578890700698,699.8287900971172
2020-11-01,60,60,1440,1440,1.0,9999788.330555936,591.0578890700698,699.8287900971172
2020-11-01,60,300,1440,1440,1.0,9999788.330555936,591.0578890700698,699.8287900971172
2020-11-01,300,30,288,288,1.0,9999780.898243558,591.0615130478326,693.3203418380857
2020-11-01,300,60,288,288,1.0,9999780.898243558,591.0615130478326,693.3203418380857
2020-11-01,300,300,288,288,1.0,9999780.898243558,591.0615130478326,693.3203418380857
2020-12-01,10,30,8640,8640,1.0,34985770.289953746,543.1605015824158,39322.335686526036
2020-12-01,10,60,8640,8640,1.0,34985770.289953746,543.1605015824158,39322.335686526036
2020-12-01,10,300,8640,8640,1.0,34985770.289953746,543.1605015824158,39322.335686526036
2020-12-01,60,30,1440,1440,1.0,34985755.74646782,543.5187277969802,17263.990105652803
2020-12-01,60,60,1440,1440,1.0,34985755.74646782,543.5187277969802,17263.990105652803
2020-12-01,60,300,1440,1440,1.0,34985755.74646782,543.5187277969802,17263.990105652803
2020-12-01,300,30,288,288,1.0,34985703.66296237,545.0206093239544,17115.704425884353
2020-12-01,300,60,288,288,1.0,34985703.66296237,545.0206093239544,17115.704425884353
2020-12-01,300,300,288,288,1.0,34985703.66296237,545.0206093239544,17115.704425884353
2021-01-01,10,30,8640,8351,0.966550925925926,23134681.62025672,496.16265662637284,222449.60375742285
2021-01-01,10,60,8640,8619,0.9975694444444444,23134681.62025672,496.16265662637284,222449.60375742285
2021-01-01,10,300,8640,8640,1.0,23134681.62025672,496.16265662637284,222449.60375742285
2021-01-01,60,30,1440,1386,0.9625,23129115.449498862,496.2746118976236,220989.417324784
2021-01-01,60,60,1440,1435,0.9965277777777778,23129115.449498862,496.2746118976236,220989.417324784
2021-01-01,60,300,1440,1440,1.0,23129115.449498862,496.2746118976236,220989.417324784
2021-01-01,300,30,288,274,0.9513888888888888,23116799.543154556,497.2409437595574,220989.417324784
2021-01-01,300,60,288,287,0.9965277777777778,23116799.543154556,497.2409437595574,220989.417324784
2021-01-01,300,300,288,288,1.0,23116799.543154556,497.2409437595574,220989.417324784
