time,PriceUSD
2020-03-13,0.0103930352045801
2020-03-14,0.0096578969665186
2020-03-15,0.0102656921018912
2020-03-16,0.0095688163919241
2020-03-17,0.0102185486172211
2020-03-18,0.01021228725982
2020-03-19,0.0117123178505409
2020-03-20,0.0112031147552943
2020-03-21,0.0112038537888869
2020-03-22,0.0102879354487553
2020-03-23,0.0113881884831996
2020-03-24,0.011567350033336
2020-03-25,0.0113858810687785
2020-03-26,0.0119598297117467
2020-03-27,0.011417034710356
2020-03-28,0.011418266669034
2020-03-29,0.0107206383409249
2020-03-30,0.0115128549096724
2020-03-31,0.0116593382468905
2020-04-01,0.0115986388641696
2020-04-02,0.0119748148068924
2020-04-03,0.0119303875333773
2020-04-04,0.0119682210482433
2020-04-05,0.0125793760289926
2020-04-06,0.0137282546422007
2020-04-07,0.0132555978167677
2020-04-08,0.0137668119745125
2020-04-09,0.0134937348892476
2020-04-10,0.0124472730127169
2020-04-11,0.0125192980296302
2020-04-12,0.0128543628817447
2020-04-13,0.0126350142857179
2020-04-14,0.0124802684378105
2020-04-15,0.0121863347000093
2020-04-16,0.0130893638375536
2020-04-17,0.0130017849224578
2020-04-18,0.0134208352280031
2020-04-19,0.0129934570540009
2020-04-20,0.0124433709530275
2020-04-21,0.0125522184223866
2020-04-22,0.0129906851679546
2020-04-23,0.0136250741261658
2020-04-24,0.013944978750922
2020-04-25,0.0139478336541466
2020-04-26,0.0142572431928963
2020-04-27,0.014525284073855
2020-04-28,0.0153398987868408
2020-04-29,0.0162209955765023
2020-04-30,0.0152776003444164
2020-05-01,0.0158412857445297
2020-05-02,0.0163402724897715
2020-05-03,0.0160106818212028
2020-05-04,0.0162640765186518
2020-05-05,0.0158558723448783
2020-05-06,0.0157642220960373
2020-05-07,0.0160747095183766
2020-05-08,0.0163379840967971
2020-05-09,0.016144310082259
2020-05-10,0.0142782858424004
2020-05-11,0.0139555838520972
2020-05-12,0.0145711651649236
2020-05-13,0.0150426536663494
2020-05-14,0.0153007958478415
2020-05-15,0.0149069145127111
2020-05-16,0.0149975938924395
2020-05-17,0.0149934016028395
2020-05-18,0.0153541335689788
2020-05-19,0.0155643221103057
2020-05-20,0.0150058080503712
2020-05-21,0.0142170227685343
2020-05-22,0.0148311892695995
2020-05-23,0.0149985537470622
2020-05-24,0.0144264653219006
2020-05-25,0.0147268697099372
2020-05-26,0.0145697191050698
2020-05-27,0.0146808711867268
2020-05-28,0.0151422269510224
2020-05-29,0.0149945466700352
2020-05-30,0.0163007570482954
2020-05-31,0.015825744140013
2020-06-01,0.0170101114713003
2020-06-02,0.0163092148872509
2020-06-03,0.0168670991806906
2020-06-04,0.0168744941566734
2020-06-05,0.0169068057481139
2020-06-06,0.0170270711415953
2020-06-07,0.0181095550757446
2020-06-08,0.0179421030180562
2020-06-09,0.0175547652075838
2020-06-10,0.0176085667681989
2020-06-11,0.0157161616960078
2020-06-12,0.016379117025094
2020-06-13,0.0166811874715347
2020-06-14,0.0161722337803819
2020-06-15,0.016128242314949
2020-06-16,0.016129723795616
2020-06-17,0.0161715703695537
2020-06-18,0.0160251132807688
2020-06-19,0.0158779727294558
2020-06-20,0.0159681889468755
2020-06-21,0.0157824201704137
2020-06-22,0.0163941025457105
2020-06-23,0.0164809143603418
2020-06-24,0.0159352515653783
2020-06-25,0.0158924057922851
2020-06-26,0.0158291412892466
2020-06-27,0.0154332115921685
2020-06-28,0.0157303303108728
2020-06-29,0.0162063093226323
2020-06-30,0.016418317007726
2020-07-01,0.0168647074336542
2020-07-02,0.0165909894331813
2020-07-03,0.0166180822807659
2020-07-04,0.0167771933520758
2020-07-05,0.0168057789405075
2020-07-06,0.0180347288502433
2020-07-07,0.017197406781923
2020-07-08,0.0179517231755637
2020-07-09,0.0184872863143953
2020-07-10,0.018141514828139
2020-07-11,0.0183835000401328
2020-07-12,0.0181471372678187
2020-07-13,0.017501711076654
2020-07-14,0.0176478101244038
2020-07-15,0.0175362488379904
2020-07-16,0.0171469903331742
2020-07-17,0.0171800561619642
2020-07-18,0.0174298549795361
2020-07-19,0.0175489894864346
2020-07-20,0.0171726727919859
2020-07-21,0.0176136342950517
2020-07-22,0.0179817772967711
2020-07-23,0.0179114442367136
2020-07-24,0.0179847112613848
2020-07-25,0.0187590789509807
2020-07-26,0.0184984907221545
2020-07-27,0.0187526019702032
2020-07-28,0.0191828077043294
2020-07-29,0.0192790996858127
