time,CapMrktCurUSD,PriceUSD,SplyCur
2018-05-08,2574321247.057844,0.99775640456823,2580109970.0
2018-05-09,2575857212.8350677,0.998351714766277,2580109970.0
2018-05-10,2582360237.512484,1.00087215953531,2580109970.0
2018-05-11,2581855070.9567566,1.00067636689019,2580109970.0
2018-05-12,2583368149.755723,1.00126280654453,2580109970.0
2018-05-13,2581291100.543545,1.0004577830237,2580109970.0
2018-05-14,2579399927.8835945,0.999724801607427,2580109970.0
2018-05-15,2582682670.7186146,1.00099712831954,2580109970.0
2018-05-16,2583772341.0278654,1.00141946315097,2580109970.0
2018-05-17,2582610745.3241377,1.00096925144789,2580109970.0
2018-05-18,2831555881.0246625,1.00051090277056,2830109970.0
2018-05-19,2826701353.7524247,0.998795588763791,2830109970.0
2018-05-20,2824828587.601929,0.998133859654199,2830109970.0
2018-05-21,2828381109.1189837,0.999389118833069,2830109970.0
2018-05-22,2828298827.486713,0.999360045181111,2830109970.0
2018-05-23,2831322946.375876,1.00042859690568,2830109970.0
2018-05-24,2831819783.709987,1.00060415097933,2830109970.0
2018-05-25,2828608838.993148,0.999469585626437,2830109970.0
2018-05-26,2825115156.663497,0.998235116871977,2830109970.0
2018-05-27,2827284569.770553,0.99900166415461,2830109970.0
2018-05-28,2830696617.405568,1.0002072878481,2830109970.0
2018-05-29,2828473533.606338,0.999421776393494,2830109970.0
2018-05-30,2824833499.748025,0.998135595327423,2830109970.0
2018-05-31,2825179018.4273043,0.998257681989405,2830109970.0
2018-06-01,2825823182.044676,0.998485292797536,2830109970.0
2018-06-02,2828641599.9541903,0.999481161487937,2830109970.0
2018-06-03,2830161881.7060566,1.00001834264626,2830109970.0
2018-06-04,2829049663.638328,0.999625347999579,2830109970.0
2018-06-05,2824454435.9594073,0.998001655730504,2830109970.0
2018-06-06,2826845364.612237,0.998846474016074,2830109970.0
2018-06-07,2826700616.224241,0.998795328163252,2830109970.0
2018-06-08,2829970336.5146127,0.999950661463029,2830109970.0
2018-06-09,2828547136.291628,0.999447948635376,2830109502.1043
2018-06-10,2835487693.4251385,1.00190034743067,2830109502.1043
2018-06-11,2829628249.2060056,0.999829952552035,2830109502.1043
2018-06-12,2835055525.3242316,1.00174764376299,2830109502.1043
2018-06-13,2831869599.334304,1.00062191842001,2830109502.1043
2018-06-14,2833714030.2343073,1.0012736355704,2830109502.1043
2018-06-15,2829695942.143824,0.999853871392549,2830109502.1043
2018-06-16,2830866464.743526,1.00026746761518,2830109502.1043
2018-06-17,2827405056.559006,0.999044402506941,2830109502.1043
2018-06-18,2828615635.2491174,0.999472152277475,2830109502.1043
2018-06-19,2831006106.1146507,1.00031680894668,2830109502.1043
2018-06-20,2828379586.801271,0.999388746159206,2830109502.1043
2018-06-21,2827670965.880597,0.999138359762444,2830109502.1043
2018-06-22,2833934291.8592634,1.00135146352186,2830109502.1043
2018-06-23,2839017332.81106,1.00314752157121,2830109502.1043
2018-06-24,2834205421.0854983,1.00144726519527,2830109502.1043
2018-06-25,3078821489.605497,0.999581828990845,3080109502.1043
2018-06-26,3077336049.364716,0.999099560344303,3080109502.1043
2018-06-27,3081986998.688861,1.00060955514188,3080109502.1043
2018-06-28,3077415177.0309615,0.999125250231689,3080109502.1043
