date,price_usd,return_1d,return_7d,return_30d,return_90d,rv30_ann,drawdown,usdt_usd,synthetic_btc_usdt,lagged_regime,wallet_realised_btc,wallet_ledger_btc,orders,contracts,maker_contracts
2019-11-15,8465.87788854471,-0.020769099344146502,-0.03702009829381481,0.057724922816806856,-0.17059382142226687,0.7317683873396802,-0.5689584326151795,0.998786140448635,8476.166764530799,range_30d_within10pct,0.03664424,229.40534935,4,4001000,4000000
2019-11-16,8477.69024284044,0.0013952899452651657,-0.03780529608566907,0.0501952794683489,-0.1794176863821021,0.7313732534943487,-0.5683570046502162,0.999213741530889,8484.361143644626,range_30d_within10pct,2.53403666,231.93938601,3,4001000,4000000
2019-11-17,8505.16122326125,0.003240385014539715,-0.05946433683665131,0.06857726629962446,-0.21860812911945082,0.7291713966769544,-0.5669583151564537,1.00020253925767,8503.438943050081,range_30d_within10pct,1.813e-05,231.93940414,0,0,0
2019-11-18,8183.53341350088,-0.03781560411585516,-0.060789840016868046,0.02957246605840025,-0.24025296588625145,0.7428731156987144,-0.5833340480761602,0.998093282647211,8199.166907321483,range_30d_within10pct,-1.2818298,230.65757434,3,4001000,4000000
2019-11-19,8116.82067258913,-0.008152070449384374,-0.07647521576909544,-0.011795933630332156,-0.19610209415826152,0.7344659894554273,-0.586730738270103,0.998830761992265,8126.322277459039,range_30d_within10pct,2.19452782,232.85210216,14,12934755,8806484
2019-11-20,8076.55466008182,-0.004960810905098589,-0.0787265964915983,-0.016452214068358284,-0.2018989626379728,0.7346389618406117,-0.5887808889304348,0.997822767243872,8094.177568618132,range_30d_within10pct,4.49119157,237.34329373,4,8000000,8000000
2019-11-21,7612.2774880187,-0.05748455766142446,-0.11950332395873864,-0.05192641930306496,-0.26904435334639865,0.7591952109336192,-0.6124196376321929,0.998995267537133,7619.933482553509,range_30d_within10pct,1.4954468,238.83874053,10,14000000,10244911
2019-11-22,7277.52427323203,-0.043975435119588346,-0.14036980345779104,-0.02420363578864526,-0.2827967117901481,0.7309141552048786,-0.629463652711125,1.00136752622671,7267.58565923816,range_30d_within10pct,32.37405646,271.21279699,9,14002000,14000000
2019-11-23,7324.83617855056,0.0065010989372513706,-0.13598681141523006,-0.01737704726708167,-0.27479431278774347,0.7313575773180236,-0.6270547592575523,1.00101153715419,7317.434321860654,range_30d_within10pct,-0.19722013,271.01557686,14,17215900,17211900
2019-11-24,6943.38065604909,-0.052077003936073396,-0.18362739120579596,-0.19791414655740114,-0.3299604802025533,0.51884334438874,-0.6464766300276366,0.999867122841353,6944.303395353048,range_30d_within10pct,1.91095599,272.92653285,3,6000000,4000000
2019-11-25,7139.04468597312,0.028179937067625227,-0.12763297646033955,-0.2281819111075627,-0.2979062625981057,0.4646787557635589,-0.6365143637098805,1.00126226325045,7130.044692583606,down_30d_lt_minus10pct,28.91215731,301.83869016,17,20362734,17930341
2019-11-26,7165.43773027469,0.003696999453361993,-0.11721128021557792,-0.2503326272052564,-0.2631789089314326,0.44256640748803966,-0.635170557511211,1.00143376002485,7155.178920767445,down_30d_lt_minus10pct,-0.84138029,300.99730987,9,12392326,11120212
2019-11-27,7526.86381654004,0.0504401963802279,-0.0680600660401166,-0.19232536366238207,-0.2062205897748336,0.4836960586740347,-0.6167684887867875,1.00146485494495,7515.854180378389,down_30d_lt_minus10pct,-0.87670239,300.12060748,10,11133826,10082033
2019-11-28,7436.3363817066,-0.01202724495087959,-0.023112807775205413,-0.2115180714398044,-0.22357634675903915,0.4790140558918483,-0.6213777080450444,1.00138472385662,7426.053348474435,down_30d_lt_minus10pct,3.61439459,303.73500207,10,14000000,14000000
2019-11-29,7747.73804208066,0.04187568237769734,0.06461177609233903,-0.156282225179591,-0.19336613111234657,0.5032396108380034,-0.6055226412060231,1.00098420042787,7740.120212455797,down_30d_lt_minus10pct,12.81316027,316.54816234,10,14000000,5808622
2019-11-30,7556.19372121567,-0.02472261191907188,0.0315853538598716,-0.17466249523336141,-0.22603269239950496,0.507621351597868,-0.615275151858347,1.00161882794621,7543.981313439788,down_30d_lt_minus10pct,-7.69147824,308.8566841,4,8000000,4688167
2019-12-01,7417.72720601987,-0.018324902762487993,0.06831636827480114,-0.1982032768157188,-0.2851994479577772,0.5055689191013907,-0.6223251972908558,1.00147726530405,7406.785418905977,down_30d_lt_minus10pct,13.61591141,322.47259551,11,12170884,6695705
2019-12-02,7318.31252180012,-0.013402310634862746,0.025110899806976672,-0.2131008223751547,-0.31081428525747756,0.5039037602995065,-0.6273869123157242,1.00139150547224,7308.143200544649,down_30d_lt_minus10pct,1.86760934,324.34020485,3,2172100,236415
