day,fills,orders,contracts,maker_contracts,fee_sat,end_position_contracts,last_execution_price
2019-04-02,2452,67,39655292,25424441,94978397,-598611,4900.0
2019-04-03,1848,76,38047848,31900308,-68022515,1196083,4975.0
2019-04-04,1452,51,25326135,21843567,-56934240,1401646,4962.5
2019-04-05,793,38,17214488,16320025,-68214878,1582,5040.0
2019-04-06,169,9,3503172,2802300,-3447266,2100154,5022.5
2019-04-07,847,5,2804848,786925,25609795,-704692,5135.0
2019-04-08,386,13,6419436,3721154,20691465,26,5210.0
2019-04-09,230,9,4705054,4412577,-16853251,680,5220.0
2019-04-10,229,16,5848889,4673694,-5418543,-1600059,5309.0
2019-04-11,2229,80,36053828,26442806,11145898,2400041,4987.5
2019-04-12,692,20,10465312,9160034,-26298697,-806267,5079.0
2019-04-13,38,2,1600000,1600000,-7877584,-806267,5085.5
2019-04-14,364,10,4994666,4664579,-18132808,-1600267,5092.0
2019-04-15,351,8,4799853,3981853,-7552642,-414,5055.0
2019-04-16,403,11,5614442,4414945,-3960880,2400086,5211.0
2019-04-17,1156,23,11411368,6290789,38752625,86,5218.5
2019-04-18,1345,27,11841285,7001619,33478111,-1159029,5273.5
2019-04-19,118,1,358915,0,5151443,-800114,5226.5
2019-04-20,5,3,1600000,1600000,-7537201,-800114,5307.5
2019-04-21,961,27,14765610,11713245,-11950864,-114,5300.5
2019-04-22,1687,56,27793740,18806143,30864484,850146,5385.0
2019-04-23,952,26,17735861,12113089,21462670,-2014393,5543.5
2019-04-24,3966,106,65122647,48842570,-619942,-1002726,5435.0
2019-04-25,2604,68,48983552,29008308,147839371,-3007702,5124.5
2019-04-26,1470,23,18415716,7851390,114710771,42,5105.5
2019-04-27,389,9,3844130,1054794,35303657,-3000058,5172.0
2019-04-28,218,4,3000000,2397677,-2860938,-58,5168.5
2019-04-29,448,11,6187776,4225506,8120230,-58,5140.0
2019-04-30,1294,12,8004301,2500172,66696905,-67,5260.0
2019-05-01,382,6,5000000,4042732,-5564698,-3000067,5320.5
2019-05-02,1010,6,7000000,3000000,42260849,-67,5397.5
2019-05-03,951,34,21551920,18531335,-42638031,-29,5662.5
2019-05-04,29,2,2000000,2000000,-8843493,-29,5570.5
2019-05-05,2466,60,30408113,22139946,11916769,-4000018,5730.0
2019-05-06,3253,99,56659884,44559487,-51733835,-1000186,5682.5
2019-05-07,2010,32,24002000,18028857,-361174,-1000186,5892.5
2019-05-08,1208,24,10016629,7563744,-898086,-1000269,5938.0
2019-05-09,2312,43,31000000,15829148,123047306,-269,6120.5
2019-05-10,401,9,3440179,1479290,17299193,3000224,6347.0
2019-05-11,5589,147,98516674,67724128,82592478,134,7265.0
2019-05-12,5355,119,116324113,88745944,-28640240,-313,6915.0
2019-05-13,3236,55,51923985,31686591,95814942,-922780,7860.0
2019-05-14,1911,47,42169064,33887314,-29316103,-1200580,8035.0
2019-05-15,780,16,11727404,9654944,-10787564,-580,8186.5
2019-05-16,1477,28,24379806,17910440,4607126,-1313580,7895.0
2019-05-17,2868,64,54843750,43210189,-28239751,-5200436,7345.0
2019-05-18,437,11,13000000,12205072,-33664384,-436,7305.0
2019-05-19,1218,51,27612700,25526626,-61951655,1400564,8205.0
2019-05-20,2266,48,51153424,40651882,-27964906,-1400684,7970.0
2019-05-21,1662,27,23423189,17119446,5573652,-1400407,7985.0
2019-05-22,2179,52,40961958,32600295,-27853798,549605,7615.0
2019-05-23,2488,45,39044710,32825034,-46394553,-177,7930.0
2019-05-24,54,3,2801000,1400000,8662912,823,8070.0
2019-05-26,2,1,1000,0,8600,-177,8720.0
2019-05-27,165,5,3000000,1347191,10063624,-177,8885.0
2019-05-28,8,1,8841,8841,-25470,-9018,8677.0
2019-05-29,329,10,6283099,5938617,-14194472,-553,8640.0
2019-05-30,551,9,6999916,3397031,22161057,-1400637,8245.0
2019-05-31,562,11,8400000,6322204,-82968,-4200637,8565.0
2019-06-01,42,1,1400000,1400000,-4100585,-2800637,8535.0
2019-06-02,93,3,2800000,2800000,-8130095,-637,8610.5
2019-06-03,725,11,11200157,8429962,-858566,-480,8115.0
2019-06-04,654,28,22849771,17457244,-21511166,-1400663,7895.0
2019-06-10,279,7,4517778,3075227,3800335,-1400663,7915.0
2019-06-12,451,17,8911117,6566071,802751,-162,7980.0
2019-06-13,276,1,1400000,0,11928735,-1400162,8130.0
2019-06-14,68,1,1400000,1317085,-3257049,-162,8200.0
2019-06-15,343,9,5600500,4205016,-44212,2800338,8835.0
2019-06-16,1258,24,25791864,20990119,-19283709,1600338,9000.5
2019-06-17,1004,17,17755444,9257594,38860922,-565222,9335.0
2019-06-18,771,19,18461321,13772753,979358,373,9060.0
2019-06-19,334,6,4801000,3241286,3928286,-1600627,9250.0
2019-06-20,292,3,4800000,3044964,5751327,-3200627,9567.5
2019-06-21,272,11,8978628,7456141,-7386629,-627,9914.0
2019-06-22,69,3,4800000,4570500,-9268281,-1600627,10720.0
2019-06-24,233,5,5201000,3200377,6509560,373,11010.0
2019-06-25,6,2,3600000,3600000,-7941598,373,11325.0
2019-06-26,1008,18,24109860,16462991,12428681,373,13325.0
2019-06-27,2553,47,62469794,40147577,58444209,-627,10833.5
2019-06-28,1947,36,41125240,28664053,18509854,-1800309,11925.0
2019-06-29,453,3,5400000,3380525,5922181,-309,11450.0
2019-07-01,1538,39,34536251,21059115,47569624,-446,10480.0
2019-07-02,688,25,26008000,22192504,-27154059,-446,9885.5
2019-07-03,858,17,20599716,10763510,41313014,-446,11440.0
2019-07-04,239,1,1700000,0,10487309,-1700446,11727.0
2019-07-05,214,4,5917098,3954814,4189102,-1700446,11260.0
2019-07-07,8,1,1700000,1700000,-3797370,-446,11191.5
2019-07-08,426,5,5400000,1299418,22481553,-2000446,12214.0
2019-07-09,394,5,7878428,4023600,15173344,-874,12399.0
2019-07-11,249,2,4000000,427502,22145060,-4000874,11719.0
2019-07-12,778,9,16444904,10405158,15005289,-2000874,11670.0
2019-07-14,48,1,2000000,2000000,-4906978,-874,10190.0
2019-07-15,341,9,13397148,12611262,-25560252,-2000874,10100.0
2019-07-16,1631,32,35798900,24649909,20515796,-2000406,9665.0
2019-07-17,2961,40,51947987,29079456,96554478,4000761,9650.0
2019-07-18,2597,26,32035141,17927266,61698536,-1384,9720.0
2019-07-19,2188,24,38304030,15204967,129137023,-2018408,10410.0
2019-07-21,535,6,8019000,3101446,28116789,2000592,10365.0
2019-07-22,114,1,2000000,2000000,-4721449,592,10590.0
2019-07-24,322,3,4001000,2227744,7594396,-408,9600.0
2019-07-25,185,2,4000000,0,29994334,-4000408,9927.5
2019-07-26,537,6,8071820,3690563,24214185,-4000408,9770.0
2019-07-27,475,6,9263120,5234123,16538518,-408,9469.5
2019-07-28,582,1,2000000,0,15744694,-2000408,9487.5
2019-07-29,894,5,10000000,3449927,42188338,-408,9540.0
2019-07-31,17,1,2000000,2000000,-5165493,-2000408,9680.0
2019-08-01,809,7,10001000,6000000,14842142,592,9980.0
2019-08-02,303,6,5002000,4000000,-2318622,1000592,10468.0
2019-08-03,195,1,1000000,394361,3294630,592,10790.0
2019-08-05,845,14,8204236,1448073,40010394,-2000408,11805.0
2019-08-06,584,6,6658734,657734,36336291,-424,11775.0
2019-08-07,819,12,17471602,12081465,7196492,576,11990.0
2019-08-08,1851,15,24003000,9017302,75597365,-424,12062.0
2019-08-09,1556,13,16186152,5056747,59704545,576,11900.0
2019-08-14,1337,12,16003000,8305104,34758592,-424,10370.0
2019-08-15,413,13,14555410,10324815,5991886,-2000424,10011.5
2019-08-16,1544,12,20590948,6254150,88867263,-8000424,10380.0
2019-08-17,301,4,4933108,2827499,8384076,-4000424,10151.5
2019-08-18,355,3,4001000,2394658,5873688,576,10349.0
2019-08-19,821,3,4001000,952092,19542652,-424,10710.0
2019-08-20,691,9,14000000,8456643,18910881,-6000424,10810.0
2019-08-21,1936,37,36508518,19396162,78294899,-424,10080.0
2019-08-22,365,5,8000000,4992944,10029826,-424,10110.0
2019-08-23,302,5,6002000,2484302,19932976,-2000424,10220.0
2019-08-24,16,1,2000000,2000000,-5014996,-424,9970.0
2019-08-25,148,4,6001000,5108630,-5884452,2000576,10040.0
2019-08-26,1727,17,26535226,11521845,80905623,-524678,10380.0
2019-08-27,589,8,11929808,9523984,-5378402,2000576,10070.0
2019-08-28,1870,17,28001000,13331966,78191813,-2000424,9670.0
2019-08-29,1392,13,16641008,8150758,45321276,-2000424,9430.0
2019-09-01,865,1,2000000,90602,14640660,-424,9630.0
2019-09-03,645,4,8000000,8000000,-18731237,-424,10670.0
2019-09-04,87,3,4001000,4000000,-9535284,576,10520.0
2019-09-05,312,7,4500560,3528569,-1496330,576,10529.5
2019-09-06,528,4,6001000,328604,38702176,-2000424,10892.5
2019-09-07,95,2,4000000,2000000,9668982,-2000424,10400.0
2019-09-08,622,4,6001000,0,24284636,4000576,10350.0
2019-09-09,1304,18,32001000,20656612,32988376,-4000424,10280.0
2019-09-10,430,2,4000000,2070138,9121781,-424,10240.0
2019-09-11,634,10,13605940,12045512,-18419511,-1862060,10113.0
2019-09-12,63,1,1861636,1861636,-4567498,-424,10190.0
2019-09-19,675,6,6001000,3920787,5407703,2000576,10262.5
2019-09-20,483,5,6000000,4000000,4930022,576,10148.5
