frequency,period,currency,flow_timing,days,valid_days,linked_return,invalid_reasons,net_flow,flow_adjusted_gain
M,2018-10,USD,EOD,31,31,0.6727970958253782,,29302.090643852138,49319.839073490206
M,2018-10,USD,MID,31,31,0.7002920604036955,,29372.812614691542,49249.117102650795
M,2018-11,BTC,BOD,30,30,4.707974187374313,,-20.88181762,82.35125198535533
M,2018-11,BTC,EOD,30,30,4.624945413371626,,-20.88181762,82.35125198535533
M,2018-11,BTC,MID,30,30,4.663861896958407,,-20.88181762,82.35125198535533
M,2018-11,USD,BOD,30,30,2.596344499549517,,-82836.44123688866,284560.3896237082
M,2018-11,USD,EOD,30,30,2.5440317060983166,,-87610.03509021207,289333.98347703164
M,2018-11,USD,MID,30,30,2.5705110753844034,,-85223.23816355036,286947.18655036995
M,2018-12,BTC,BOD,31,31,1.2010396421563279,,-40.036,83.74559555180275
M,2018-12,BTC,EOD,31,31,1.138760549943306,,-40.036,83.74559555180275
M,2018-12,BTC,MID,31,31,1.1679469882474587,,-40.036,83.74559555180275
M,2018-12,USD,BOD,31,31,1.042534840982443,,-152526.54431600572,290889.75244017405
M,2018-12,USD,EOD,31,31,0.9847406907665788,,-149753.05901953945,288116.2671437078
M,2018-12,USD,MID,31,31,1.0114728341059172,,-151139.80166777258,289503.0097919409
M,2019-01,BTC,BOD,31,31,0.5854385079950355,,-20.024,64.9687762601401
M,2019-01,BTC,EOD,31,31,0.5687180703535879,,-20.024,64.9687762601401
M,2019-01,BTC,MID,31,31,0.5767476630199653,,-20.024,64.9687762601401
M,2019-01,USD,BOD,31,31,0.46630344684342473,,-73036.02462148102,192112.75021053432
M,2019-01,USD,EOD,31,31,0.45083943784985603,,-72141.00981910696,191217.73540816025
M,2019-01,USD,MID,31,31,0.45825030851762183,,-72588.51722029399,191665.24280934728
M,2019-02,BTC,BOD,28,28,0.14040455414660075,,-20.012,21.330285208296203
M,2019-02,BTC,EOD,28,28,0.13953557294724003,,-20.012,21.330285208296203
M,2019-02,BTC,MID,28,28,0.139943249878727,,-20.012,21.330285208296203
M,2019-02,USD,BOD,28,28,0.26842460760202336,,-72292.94214000113,141739.1130615459
M,2019-02,USD,EOD,28,28,0.2674580759156978,,-72468.81763708939,141914.98855863418
M,2019-02,USD,MID,28,28,0.2679123332723146,,-72380.87988854526,141827.05081009003
M,2019-03,BTC,BOD,31,31,0.1769179906408799,,-8.0012,29.333197679918346
M,2019-03,BTC,EOD,31,31,0.1769767280247141,,-8.0012,29.333197679918346
M,2019-03,BTC,MID,31,31,0.17694801220288636,,-8.0012,29.333197679918346
M,2019-03,USD,BOD,31,31,0.2704304534371946,,-30852.012454382948,169324.0653370755
M,2019-03,USD,EOD,31,31,0.2704938578220129,,-30718.475503407793,169190.52838610034
M,2019-03,USD,MID,31,31,0.2704631949316649,,-30785.24397889537,169257.2968615879
M,2019-04,BTC,BOD,30,30,0.18745631174013158,,-50.036,24.90385489731031
M,2019-04,BTC,EOD,30,30,0.17812154698088672,,-50.036,24.90385489731031
M,2019-04,BTC,MID,30,30,0.18250117323274298,,-50.036,24.90385489731031
M,2019-04,USD,BOD,30,30,0.5274532435178882,,-264040.7485963764,355585.6497283692
M,2019-04,USD,EOD,30,30,0.515445714004579,,-270110.73097827844,361655.63211027125
M,2019-04,USD,MID,30,30,0.5212313499161001,,-267075.7397873275,358620.6409193203
