time,symbol,execcomm,lastqty
2018-07-29 04:00:00,XBTUSD,9,1
2018-07-29 12:00:00,XBTUSD,1717649,250001
2018-07-29 20:00:00,XBTUSD,2280340,250001
2018-07-30 04:00:00,XBTUSD,1093247,250001
2018-07-30 12:00:00,XBTUSD,1268605,250001
2018-07-30 20:00:00,XBTUSD,9610542,500001
2018-07-31 04:00:00,XBTUSD,2914401,250001
2018-07-31 12:00:00,XBTUSD,8201825,750001
2018-07-31 20:00:00,XBTUSD,8798798,819741
2018-08-01 04:00:00,XBTUSD,2080466,1568033
2018-08-01 12:00:00,XBTUSD,924877,699287
2018-08-01 20:00:00,XBTUSD,-943,713
2018-08-02 04:00:00,XBTUSD,-4747,3630
2018-08-02 12:00:00,XBTUSD,325824,246370
2018-08-02 20:00:00,XBTUSD,326785,246370
2018-08-03 04:00:00,XBTUSD,336098,246370
2018-08-03 12:00:00,XBTUSD,334669,246370
2018-08-03 20:00:00,XBTUSD,339616,250436
2018-08-04 04:00:00,XBTUSD,335910,250436
2018-08-04 12:00:00,XBTUSD,338189,250436
2018-08-04 20:00:00,XBTUSD,2421875,1693974
2018-08-05 04:00:00,XBTUSD,-8576437,1243982
2018-08-05 12:00:00,XBTUSD,-3587354,1029550
2018-08-05 20:00:00,XBTUSD,6706,20450
2018-08-06 04:00:00,XBTUSD,553113,250001
2018-08-06 12:00:00,XBTUSD,-2805471,495774
2018-08-06 20:00:00,XBTUSD,721082,500647
2018-08-07 04:00:00,XBTUSD,1083709,750647
2018-08-07 12:00:00,XBTUSD,-368,261
2018-08-07 20:00:00,XBTUSD,357149,249999
2018-08-08 04:00:00,XBTUSD,-5479736,1249491
2018-08-08 12:00:00,XBTUSD,-8640753,1008612
2018-08-08 20:00:00,XBTUSD,2125191,240232
2018-08-09 04:00:00,XBTUSD,-9414608,612959
2018-08-09 12:00:00,XBTUSD,-4402824,250001
2018-08-09 20:00:00,XBTUSD,3924538,249999
2018-08-10 04:00:00,XBTUSD,2238695,249999
2018-08-10 12:00:00,XBTUSD,-8360287,750001
2018-08-10 20:00:00,XBTUSD,-1,1
2018-08-11 04:00:00,XBTUSD,-4075,9581
2018-08-11 12:00:00,XBTUSD,-4094101,259581
2018-08-11 20:00:00,XBTUSD,-12,1
2018-08-12 04:00:00,XBTUSD,-1,1
2018-08-12 12:00:00,XBTUSD,2,1
2018-08-12 20:00:00,XBTUSD,2,1
2018-08-13 04:00:00,XBTUSD,2,1
2018-08-13 12:00:00,XBTUSD,-387973,249999
2018-08-13 20:00:00,XBTUSD,-4,1
2018-08-14 04:00:00,XBTUSD,125100,500001
2018-08-14 12:00:00,XBTUSD,-19,1
2018-08-14 20:00:00,XBTUSD,-22,1
2018-08-15 04:00:00,XBTUSD,2731183,499999
2018-08-15 12:00:00,XBTUSD,5,1
2018-08-15 20:00:00,XBTUSD,-2867233,249999
2018-08-16 04:00:00,XBTUSD,7,1
2018-08-16 12:00:00,XBTUSD,5,1
2018-08-16 20:00:00,XBTUSD,1547202,249999
2018-08-17 04:00:00,XBTUSD,1464711,500001
2018-08-17 12:00:00,XBTUSD,4377170,500001
2018-08-17 20:00:00,XBTUSD,1984282,500001
2018-08-18 04:00:00,XBTUSD,3,1
2018-08-18 04:00:00,ETHUSD,-1155035,56354
2018-08-18 12:00:00,XBTUSD,8,1
2018-08-18 20:00:00,XBTUSD,-11,1
2018-08-19 04:00:00,XBTUSD,-12,1
2018-08-19 12:00:00,XBTUSD,-10,1
2018-08-19 20:00:00,XBTUSD,-10,1
2018-08-20 04:00:00,XBTUSD,-9,1
2018-08-20 12:00:00,XBTUSD,2,1
