date,symbol,fills,contracts,turnover_usd_proxy,maker_usd_proxy,known_liquidity_usd_proxy,forced_fills,fee_sat
2018-07-25,XBTUSD,659,14864962,14864962.0,12215082.0,14864962.0,0,-12317277
2018-07-26,ETHU18,25,198,97186.40543492332,72556.99920295083,97186.40543492332,0,277546
2018-07-26,XBTUSD,642,15478102,15478102.0,12655493.0,15478102.0,0,-11562134
2018-07-27,ADAU18,19,200000,32866.55452186414,32866.55452186414,32866.55452186414,0,-186879
2018-07-27,EOSU18,9,9267,76981.3672103363,76981.3672103363,76981.3672103363,0,-437724
2018-07-27,ETHU18,7,100,46866.298068499746,46866.298068499746,46866.298068499746,0,-266486
2018-07-27,XBTUSD,900,21195958,21195958.0,15886833.0,21195958.0,0,-219949
2018-07-28,ADAU18,1,100000,16625.457559462306,16625.457559462306,16625.457559462306,0,-91530
2018-07-28,EOSU18,2,5000,42123.54745953245,42123.54745953245,42123.54745953245,0,-231907
2018-07-28,ETHU18,3,50,23618.121739462305,23618.121739462305,23618.121739462305,0,-130026
2018-07-28,XBTUSD,153,3033948,3033948.0,2520772.0,3033948.0,0,-2697952
2018-07-29,ADAU18,11,200000,33965.423155101686,33965.423155101686,33965.423155101686,0,-186610
2018-07-29,TRXU18,148,18489535,758716.5580973498,754582.6304584189,758716.5580973498,0,-4032272
2018-07-29,XBTUSD,159,2169286,2169286.0,1624196.0,2169286.0,0,-437008
2018-07-30,ADAU18,7,362453,59230.25484842592,59230.25484842592,59230.25484842592,0,-323874
2018-07-30,EOSU18,3,14555,120980.16416627303,120980.16416627303,120980.16416627303,0,-661526
2018-07-30,TRXU18,2,10811,441.2925328615494,0.0,441.2925328615494,0,12064
2018-07-30,XBTUSD,89,1000000,1000000.0,673181.0,1000000.0,0,807880
2018-07-31,ADAU18,47,883801,136594.4937467525,136594.4937467525,136594.4937467525,0,-752166
2018-07-31,EOSU18,68,22355,173363.07400159622,164361.05975709675,173363.07400159622,0,-657216
2018-07-31,ETHU18,11,123,56047.46024537681,45900.65055106856,56047.46024537681,0,26618
2018-07-31,TRXU18,14,2582732,94740.96494081295,94740.96494081295,94740.96494081295,0,-521707
2018-07-31,XBTUSD,651,16658424,16658424.0,9687134.0,16658424.0,0,32624057
2018-08-01,ADAU18,12,330755,47507.8897314002,47507.8897314002,47507.8897314002,0,-276735
2018-08-01,EOSU18,36,16948,127005.07980545437,119340.01972153789,127005.07980545437,0,-471919
