posting_date,wallet_present,wallet_sat,model_sat,difference_sat,cumulative_difference_sat,within_wallet_period
2019-06-02,True,-808485545,-808485543.1024258,1.8975741863250732,-0.19898480642586946,True
2019-06-03,True,-11935474,-11935474.0,0.0,-0.19898480642586946,True
2019-06-04,True,1301142706,1301142706.1976695,0.19766950607299805,-0.001315300352871418,True
2019-06-05,True,937083,937083.0,0.0,-0.001315300352871418,True
2019-06-06,True,1717858,1717858.0,0.0,-0.001315300352871418,True
2019-06-07,True,-6182712,-6182712.0,0.0,-0.001315300352871418,True
2019-06-08,True,4440841,4440841.0,0.0,-0.001315300352871418,True
2019-06-09,True,-3387739,-3387739.0,0.0,-0.001315300352871418,True
2019-06-10,True,616978933,616978932.6220642,-0.3779357671737671,-0.3792510675266385,True
2019-06-11,True,29123972,29123972.45801562,0.4580156207084656,0.07876455318182707,True
2019-06-12,True,-161333169,-161333168.77598333,0.22401666641235352,0.3027812195941806,True
2019-06-13,True,-11928135,-11928135.0,0.0,0.3027812195941806,True
2019-06-14,True,-137119684,-137119684.05624405,-0.05624404549598694,0.24653717409819365,True
2019-06-15,True,388712,388840.75213491917,128.75213491916656,128.99867209326476,True
2019-06-16,True,857616062,857615932.7534747,-129.24652528762817,-0.24785319436341524,True
2019-06-17,True,409551335,409551334.7650495,-0.2349504828453064,-0.48280367720872164,True
2019-06-18,True,37445480,37445480.445320755,0.4453207552433014,-0.037482921965420246,True
2019-06-19,True,319559778,319559778.03616995,0.03616994619369507,-0.0013129757717251778,True
2019-06-20,True,133414395,133414395.27710585,0.2771058529615402,0.27579287718981504,True
2019-06-21,True,-1070078871,-1070078870.8421011,0.1578989028930664,0.43369178008288145,True
2019-06-22,True,-350725907,-350725907.0347753,-0.03477531671524048,0.39891646336764097,True
2019-06-23,True,91378064,91378064.0,0.0,0.39891646336764097,True
2019-06-24,True,187802845,187802844.94181973,-0.058180272579193115,0.34073619078844786,True
2019-06-25,True,264556407,264556406.36722577,-0.6327742338180542,-0.29203804302960634,True
2019-06-26,True,984514747,984514745.9794158,-1.020584225654602,-1.3126222686842084,True
2019-06-27,True,1042756641,1042756642.5069492,1.5069491863250732,0.19432691764086485,True
2019-06-28,True,652987334,652987333.8045099,-0.19549012184143066,-0.001163204200565815,True
2019-06-29,True,961821059,961821058.7004516,-0.2995483875274658,-0.30071159172803164,True
2019-06-30,True,2581,2581.0,0.0,-0.30071159172803164,True
2019-07-01,True,38591648,38591648.786316805,0.786316804587841,0.4856052128598094,True
