posting_date,wallet_present,wallet_sat,model_sat,difference_sat,cumulative_difference_sat,within_wallet_period
2019-06-14,True,-137119684,-137119684,0,1,True
2019-06-15,True,388712,388710,-2,-1,True
2019-06-16,True,857616062,857616063,1,0,True
2019-06-17,True,409551335,409551335,0,0,True
2019-06-18,True,37445480,37445480,0,0,True
2019-06-19,True,319559778,319559778,0,0,True
2019-06-20,True,133414395,133414396,1,1,True
2019-06-21,True,-1070078871,-1070078855,16,17,True
2019-06-22,True,-350725907,-350725923,-16,1,True
2019-06-23,True,91378064,91378064,0,1,True
2019-06-24,True,187802845,187802845,0,1,True
2019-06-25,True,264556407,264556405,-2,-1,True
2019-06-26,True,984514747,984514725,-22,-23,True
2019-06-27,True,1042756641,1042756664,23,0,True
2019-06-28,True,652987334,652987334,0,0,True
2019-06-29,True,961821059,961821059,0,0,True
2019-06-30,True,2581,2581,0,0,True
2019-07-01,True,38591648,38591648,0,0,True
2019-07-02,True,-981928410,-981928409,1,1,True
2019-07-03,True,-89787768,-89787768,0,1,True
2019-07-04,True,-41662182,-41662183,-1,0,True
2019-07-05,True,1091971769,1091971769,0,0,True
2019-07-06,True,2030309,2030309,0,0,True
2019-07-07,True,7021577,7021577,0,0,True
2019-07-08,True,102132689,102132690,1,1,True
2019-07-09,True,-199528208,-199528209,-1,0,True
2019-07-10,True,119016797,119016798,1,1,True
2019-07-11,True,-9330010,-9330010,0,1,True
2019-07-12,True,362562209,362562210,1,2,True
2019-07-13,True,5150049,5150049,0,2,True
2019-07-14,True,651317,651317,0,2,True
2019-07-15,True,2502704404,2502704429,25,27,True
2019-07-16,True,-1136476834,-1136476858,-24,3,True
2019-07-17,True,3717597426,3717597423,-3,0,True
2019-07-18,True,285888120,285888121,1,1,True
2019-07-19,True,-435431450,-435431451,-1,0,True
2019-07-20,True,5815841,5815841,0,0,True
2019-07-21,True,5656184,5656184,0,0,True
2019-07-22,True,731511378,731511377,-1,-1,True
2019-07-23,True,-977,-977,0,-1,True
2019-07-24,True,4745059,4745060,1,0,True
2019-07-25,True,215694710,215694711,1,1,True
2019-07-26,True,913194753,913194752,-1,0,True
2019-07-27,True,-1663458402,-1663458401,1,1,True
2019-07-28,True,-15745344,-15745344,0,1,True
2019-07-29,True,-166123363,-166123363,0,1,True
2019-07-30,True,1296,1296,0,1,True
2019-07-31,True,7232167,7232167,0,1,True
2019-08-01,True,-978709455,-978709457,-2,-1,True
2019-08-02,True,-8180285,-8180283,2,1,True
2019-08-03,True,280580348,280580346,-2,-1,True
2019-08-04,True,-1644,-1644,0,-1,True
2019-08-05,True,171836424,171836424,0,-1,True
2019-08-06,True,112774412,112774413,1,0,True
2019-08-07,True,780314856,780314788,-68,-68,True
2019-08-08,True,993610969,993611037,68,0,True
2019-08-09,True,-641918303,-641918315,-12,-12,True
2019-08-10,True,195169926,195169938,12,0,True
2019-08-11,True,-6584,-6584,0,0,True
2019-08-12,True,-1514,-1514,0,0,True
2019-08-13,True,-1675,-1675,0,0,True
2019-08-14,True,187507598,187507598,0,0,True
2019-08-15,True,391321214,391321215,1,1,True
2019-08-16,True,232783582,232783599,17,18,True
2019-08-17,True,-103607927,-103607895,32,50,True
2019-08-18,True,107152305,107152306,1,51,True
2019-08-19,True,-920951327,-920951377,-50,1,True
2019-08-20,True,290899492,290899492,0,1,True
2019-08-21,True,803320386,803320385,-1,0,True
2019-08-22,True,91254278,91254279,1,1,True
2019-08-23,True,333420217,333420216,-1,0,True
2019-08-24,True,502579129,502579130,1,1,True
2019-08-25,True,9382276,9382275,-1,0,True
2019-08-26,True,1242161249,1242161248,-1,-1,True
2019-08-27,True,9386754,9386707,-47,-48,True
2019-08-28,True,-521299811,-521299763,48,0,True
2019-08-29,True,365186834,365186834,0,0,True
2019-08-30,True,-13478279,-13478279,0,0,True
2019-08-31,True,-9715142,-9715142,0,0,True
2019-09-01,True,-440968988,-440968987,1,1,True
2019-09-02,True,1316,1316,0,1,True
2019-09-03,True,533,533,0,1,True
2019-09-04,True,286315145,286315145,0,1,True
2019-09-05,True,160274065,160274065,0,1,True
2019-09-06,True,146550444,146550443,-1,0,True
2019-09-07,True,926673486,926673487,1,1,True
2019-09-08,True,-188831109,-188831110,-1,0,True
2019-09-09,True,-1037387603,-1037387602,1,1,True
2019-09-10,True,-35092129,-35092129,0,1,True
2019-09-11,True,53203482,53203482,0,1,True
2019-09-12,True,-88589720,-88589720,0,1,True
2019-09-13,True,1524,1524,0,1,True
2019-09-14,True,2106,2106,0,1,True
2019-09-15,True,2406,2406,0,1,True
2019-09-16,True,2146,2146,0,1,True
2019-09-17,True,2712,2712,0,1,True
2019-09-18,True,2283,2283,0,1,True
2019-09-19,True,-168000077,-168000077,0,1,True
2019-09-20,True,10073035,10073033,-2,-1,True
2019-09-21,True,-75084832,-75084831,1,0,True
2019-09-22,True,-1732,-1732,0,0,True
2019-09-23,True,4868016,4868016,0,0,True
2019-09-24,True,237607954,237607954,0,0,True
2019-09-25,True,373351135,373351135,0,0,True
2019-09-26,True,19089240,19089240,0,0,True
2019-09-27,True,2398742968,2398742968,0,0,True
2019-09-28,True,2097720,2097720,0,0,True
2019-09-29,True,-616395369,-616395368,1,1,True
2019-09-30,True,239204953,239205004,51,52,True
2019-10-01,True,-465597851,-465597902,-51,1,True
2019-10-02,True,-1565,-1565,0,1,True
2019-10-03,True,333,333,0,1,True
2019-10-04,True,-1343,-1343,0,1,True
2019-10-05,True,-1077,-1077,0,1,True
2019-10-06,True,947,947,0,1,True
2019-10-07,True,792931110,792931109,-1,0,True
2019-10-08,True,212028964,212028965,1,1,True
2019-10-09,True,7354849,7354849,0,1,True
2019-10-10,True,-1009644506,-1009644507,-1,0,True
2019-10-11,True,67566805,67566804,-1,-1,True
2019-10-12,True,-1791,-1791,0,-1,True
2019-10-13,True,-15586141,-15586140,1,0,True
2019-10-14,True,280689838,280689838,0,0,True
2019-10-15,True,303992543,303992542,-1,-1,True
