date,account_net_sat,xbtusd_net_sat,other_net_sat,cumulative_sat,drawdown_sat
2019-01-04,-8034,-8034,0,19279312699,-8034
2019-01-05,28463105,-18379762,46842867,19307775804,0
2019-01-06,-3832,-3832,0,19307771972,-3832
2019-01-07,68467444,68467444,0,19376239416,0
2019-01-08,96365811,96365811,0,19472605227,0
2019-01-09,-718499143,1720,-718500863,18754106084,-718499143
2019-01-10,-230251857,-174751764,-55500093,18523854227,-948751000
2019-01-11,525140523,525140523,0,19048994750,-423610477
2019-01-12,2208171494,671283205,1536888289,21257166244,0
2019-01-13,-6334886,-6334886,0,21250831358,-6334886
2019-01-14,613799304,613799304,0,21864630662,0
2019-01-15,703652698,703652698,0,22568283360,0
2019-01-16,534823274,534823274,0,23103106634,0
2019-01-17,189612127,189612127,0,23292718761,0
2019-01-18,-11435410,-11435410,0,23281283351,-11435410
2019-01-19,-5465510,-5465510,0,23275817841,-16900920
2019-01-20,7025163,7025163,0,23282843004,-9875757
2019-01-21,680653805,680653805,0,23963496809,0
2019-01-22,292986997,292986997,0,24256483806,0
2019-01-23,3117609,3117609,0,24259601415,0
2019-01-24,20294104,20294104,0,24279895519,0
2019-01-25,-5377,-5377,0,24279890142,-5377
2019-01-26,-15785,-15785,0,24279874357,-21162
2019-01-27,181479994,181479994,0,24461354351,0
2019-01-28,460163510,460163510,0,24921517861,0
2019-01-29,448714313,448714313,0,25370232174,0
2019-01-30,253488796,253488796,0,25623720970,0
2019-01-31,-24585762,-24585762,0,25599135208,-24585762
2019-02-01,71855889,71855889,0,25670991097,0
2019-02-02,250493252,250493252,0,25921484349,0
2019-02-03,-34444616,-34444616,0,25887039733,-34444616
2019-02-04,847,847,0,25887040580,-34443769
2019-02-05,864,864,0,25887041444,-34442905
2019-02-06,990,990,0,25887042434,-34441915
2019-02-07,-482,-482,0,25887041952,-34442397
2019-02-08,102040922,102040922,0,25989082874,0
2019-02-09,131518626,131518626,0,26120601500,0
2019-02-10,-93579258,-93579258,0,26027022242,-93579258
2019-02-11,129161528,129161528,0,26156183770,0
2019-02-12,4634696,4634696,0,26160818466,0
2019-02-13,193741983,193741983,0,26354560449,0
2019-02-14,360,360,0,26354560809,0
2019-02-15,-3981052,-3981052,0,26350579757,-3981052
2019-02-16,8390261,8390261,0,26358970018,0
2019-02-17,-546386671,-546386671,0,25812583347,-546386671
2019-02-18,202066302,202066302,0,26014649649,-344320369
2019-02-19,-261475265,-261475265,0,25753174384,-605795634
2019-02-20,148211857,148211857,0,25901386241,-457583777
2019-02-21,144115784,144115784,0,26045502025,-313467993
2019-02-22,93575877,93575877,0,26139077902,-219892116
2019-02-23,68974857,68974857,0,26208052759,-150917259
2019-02-24,3279962,3279962,0,26211332721,-147637297
2019-02-25,1169910389,363281948,806628441,27381243110,0
2019-02-26,81546289,-225928335,307474624,27462789399,0
2019-02-27,70040758,70040758,0,27532830157,0
2019-02-28,5442618,5442618,0,27538272775,0
2019-03-01,242000217,150115796,91884421,27780272992,0
