episode_id,start,end,closed,direction,gross_sat,trade_fee_sat,funding_credit_sat,entry_contracts,exit_contracts,entry_cost_sat,exit_cost_sat,peak_contracts,opening_batches,closing_batches,net_sat,duration_hours,entry_harmonic_usd,exit_harmonic_usd
1560,2018-12-07 16:34:21.995498,2018-12-07 16:43:53.423986,True,long,98466320,4143293,0,425126,425126,13198653261,13100186941,345126,3,11,94323027,0.15873013555555557,3220.9801378462016,3245.1903313644475
1561,2018-12-07 16:43:53.423986,2018-12-07 16:48:49.918959,True,short,54980275,5157464,0,342075,342075,10470325400,10525305675,342075,2,2,49822811,0.08235971472222223,3267.090438278069,3250.024375182814
1562,2018-12-07 16:48:49.918959,2018-12-07 17:03:13.490555,True,long,226375,93287,0,7925,7925,243844325,243617950,7925,1,2,133088,0.2398809988888889,3250.024375182814,3253.0443672151414
1563,2018-12-07 17:03:13.490555,2018-12-07 17:42:09.221893,True,short,1619937,166860,0,10765,10765,331282110,332902047,10765,9,2,1453077,0.6488142605555556,3249.496328069149,3233.683931057354
1564,2018-12-07 17:42:09.221893,2018-12-07 19:12:28.355010,True,long,582147458,10667655,0,699235,699235,21543760713,20961613255,699235,6,8,571479803,1.5053147547222223,3245.649677022571,3335.7880974796185
1565,2018-12-07 19:12:28.355010,2018-12-08 10:54:56.305905,True,short,4863861,-437690,-73149,30984,30984,910423155,915287016,30984,5,27,5228402,15.7077641375,3403.252633661322,3385.167653246815
1566,2018-12-08 10:54:56.305905,2018-12-09 14:06:13.501575,True,long,165118701,-6569957,27548399,2100475,2100475,61552955305,61387836604,1050027,152,90,199237057,27.188109908333335,3412.4681578520026,3421.646886743577
1567,2018-12-09 14:06:13.501575,2018-12-09 17:57:47.220651,True,short,-180129682,15038283,0,3849973,3849973,108613112366,108432982684,1744306,247,248,-195167965,3.85936641,3544.6668603202525,3550.5552874255563
1568,2018-12-09 17:57:47.220651,2018-12-09 18:10:57.048171,True,long,45338668,2011692,0,355694,355694,10008370132,9963031464,355694,21,14,43326976,0.21939653333333334,3553.965284144829,3570.138278547546
1569,2018-12-09 18:10:57.048171,2018-12-09 19:58:09.409151,True,short,94163679,6563530,0,544306,544306,15215359246,15309522925,353493,25,47,87600149,1.786766938888889,3577.3457017986207,3555.342662645381
1570,2018-12-09 19:58:09.409151,2018-12-10 06:19:14.720633,True,long,21887241,-750030,862,633339,633339,18116871954,18094984713,350048,18,38,22638133,10.351475411666666,3495.851831420412,3500.0803263734706
1571,2018-12-10 06:19:14.720633,2018-12-10 06:22:23.912602,True,short,16067156,5034087,0,349286,349286,10044068216,10060135372,349286,23,1,11033069,0.052553324722222225,3477.5351231047434,3471.9811124227485
1572,2018-12-10 06:22:23.912602,2018-12-10 07:06:03.571422,True,long,-26418,30866,0,714,714,20564628,20591046,714,1,1,-57284,0.7276830055555555,3471.9811124227485,3467.5266132667566
1573,2018-12-10 07:06:03.571422,2018-12-10 07:46:51.758802,True,short,-136388982,23476214,0,899810,899810,25928009322,25791620340,737086,41,89,-159865196,0.6800520499999999,3470.4168331060737,3488.768786676394
1574,2018-12-10 07:46:51.758802,2018-12-10 08:20:26.457158,True,long,-45499,3750,0,263,263,7522852,7568351,263,1,1,-49249,0.5596384322222222,3496.0145434205006,3474.997393751955
1575,2018-12-10 08:20:26.457158,2018-12-10 09:08:35.737264,True,short,182530060,-748187,0,699737,699737,20132773850,20315303910,699737,96,22,183278247,0.8025778072222223,3475.6114841075414,3444.3836188714936
1576,2018-12-10 09:08:35.737264,2018-12-11 01:31:13.375147,True,long,-362099570,37720665,645,3078663,3078663,89459648592,89821748162,1412595,170,124,-399819590,16.377121634166667,3441.3984946899423,3427.5251406234147
1577,2018-12-11 01:31:13.375147,2018-12-11 04:04:43.671530,True,short,-18449972,8723228,775281,599972,599972,17729017329,17710567357,349923,15,6,-26397919,2.5584156619444447,3384.1243926058096,3387.649801985957
1578,2018-12-11 04:04:43.671530,2018-12-11 16:39:56.398070,True,long,-138715698,-844342,106752,1750737,1750737,52024716390,52163432088,706993,98,51,-137764604,12.586868483333335,3365.2023912551695,3356.253470911379
1579,2018-12-11 16:39:56.398070,2018-12-12 12:11:45.325545,True,short,68607735,1907158,-11575356,2155695,2155695,63778250689,63846858424,725695,153,105,55125221,19.530257631944444,3379.9845193493184,3376.35249910695
1580,2018-12-12 12:11:45.325545,2018-12-12 13:41:02.175240,True,long,-1282774,348684,0,23761,23761,698016142,699298916,23761,1,4,-1631458,1.4880138041666666,3404.0760048784086,3397.8316648784853
1581,2018-12-12 13:41:02.175240,2018-12-12 15:46:52.483376,True,short,-286468860,19522297,0,1049239,1049239,30653410084,30366941224,1049239,101,44,-305991157,2.0973078155555553,3422.911177336403,3455.2014714302263
1582,2018-12-12 15:46:52.483376,2018-12-12 15:56:17.120634,True,long,-20663754,9653526,0,358534,358534,10366976175,10387639929,358534,6,2,-30317280,0.15684368277777777,3458.424076102403,3451.544358974671
1583,2018-12-12 15:56:17.120634,2018-12-12 16:08:04.918742,True,short,-32082247,-1623146,0,696713,696713,20206749358,20174667111,696713,72,66,-30459101,0.19661058555555555,3447.922214782984,3453.405184664115
1584,2018-12-12 16:08:04.918742,2018-12-12 18:34:28.443762,True,long,-78231781,7104786,0,1250095,1250095,36213980784,36292212565,1050095,145,81,-85336567,2.439868061111111,3451.9679221576075,3444.5268327497465
1585,2018-12-12 18:34:28.443762,2018-12-13 12:56:05.519359,True,short,-105265550,3586090,-1366327,702771,702771,20653082312,20547816762,352771,35,43,-110217967,18.360298776944447,3402.7414861542047,3420.173579217749
1586,2018-12-13 12:56:05.519359,2018-12-13 13:23:16.248135,True,long,-50849328,7955503,0,697229,697229,20472224373,20523073701,697229,19,15,-58804831,0.4529802155555555,3405.7315282239065,3397.2932620030842
1587,2018-12-13 13:23:16.248135,2018-12-14 12:07:04.087710,True,short,972213154,53590493,-31083373,4415086,4415086,133172852395,134145065549,1051386,375,166,887539288,22.729955437500003,3315.3048242178866,3291.2772318019215
1588,2018-12-14 12:07:04.087710,2018-12-14 12:09:29.742196,True,long,6664,10939,0,238,238,7296128,7289464,238,1,1,-4275,0.04045957944444444,3262.0041753653445,3264.9862870575944
1589,2018-12-14 12:09:29.742196,2018-12-14 18:40:51.034170,True,short,300248754,6749080,0,352887,352887,10809723036,11109971790,352887,4,18,293499674,6.522581103888889,3264.533224623499,3176.308695199666
1590,2018-12-14 18:40:51.034170,2018-12-14 18:53:42.591130,True,long,7414634,20398029,0,614524,614524,19355563756,19348149122,349913,25,23,-12983395,0.21432137777777777,3174.921731791484,3176.1384312530936
1591,2018-12-14 18:53:42.591130,2018-12-14 21:17:28.112280,True,short,86412749,5349729,-1140,363201,363201,11416190397,11502603146,350201,32,3,81061880,2.395978097222222,3181.455348672563,3157.5548194610383
1592,2018-12-14 21:17:28.112280,2018-12-14 22:24:57.041265,True,long,140220,3646,0,228,228,7220988,7080768,228,1,1,136574,1.1247024958333334,3157.4626630040098,3219.989696032973
1593,2018-12-14 22:24:57.041265,2018-12-14 23:08:34.240466,True,short,59461240,-5446120,0,349772,349772,10862519232,10921980472,349772,16,1,64907360,0.7269997780555555,3219.989696032973,3202.459488887466
